('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419719 function calls (406763 primitive calls) in 1.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.030    0.004 <frozen importlib._bootstrap>:433(spec_from_loader)
        4    0.000    0.000    0.030    0.007 six.py:205(is_package)
        1    0.000    0.000    0.030    0.030 six.py:115(__getattr__)
      950    0.003    0.000    0.027    0.000 _htmlparser.py:119(handle_starttag)
        1    0.000    0.000    0.027    0.027 ssl_.py:1(<module>)
        1    0.000    0.000    0.026    0.026 client.py:69(<module>)
        1    0.000    0.000    0.026    0.026 css_parser.py:314(__init__)
        1    0.000    0.000    0.026    0.026 url.py:1(<module>)
        1    0.000    0.000    0.025    0.025 socket.py:731(getaddrinfo)
        1    0.025    0.025    0.025    0.025 {built-in method _socket.getaddrinfo}
      950    0.004    0.000    0.023    0.000 __init__.py:664(handle_starttag)
      182    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.021    0.021 parser.py:5(<module>)
      182    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.021    0.021 feedparser.py:20(<module>)
       14    0.000    0.000    0.021    0.001 css_parser.py:1040(process_selectors)
    45/14    0.001    0.000    0.021    0.001 css_parser.py:847(parse_selectors)
       35    0.000    0.000    0.020    0.001 element.py:1762(find_all)
       35    0.001    0.000    0.019    0.001 element.py:733(_find_all)
        1    0.000    0.000    0.018    0.018 _policybase.py:4(<module>)
        1    0.000    0.000    0.018    0.018 _lxml.py:2(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:19(<module>)
     1411    0.002    0.000    0.017    0.000 element.py:2030(search)
        1    0.016    0.016    0.016    0.016 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      885    0.003    0.000    0.016    0.000 parser.py:386(parse_endtag)
      951    0.005    0.000    0.015    0.000 element.py:1063(__init__)
    35/27    0.000    0.000    0.015    0.001 css_parser.py:557(parse_pseudo_class)
    31/26    0.000    0.000    0.015    0.001 css_parser.py:704(parse_pseudo_open)
    23/21    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
    23/21    0.004    0.000    0.015    0.001 {built-in method _imp.exec_dynamic}
     1048    0.003    0.000    0.014    0.000 element.py:1975(search_tag)
        1    0.000    0.000    0.014    0.014 utils.py:5(<module>)
        1    0.000    0.000    0.014    0.014 universaldetector.py:36(<module>)
        1    0.000    0.000    0.014    0.014 sessions.py:687(merge_environment_settings)
        1    0.000    0.000    0.014    0.014 utils.py:760(get_environ_proxies)
      959    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.013    0.013 utils.py:699(should_bypass_proxies)
        1    0.000    0.000    0.013    0.013 request.py:2599(proxy_bypass)
      963    0.013    0.000    0.013    0.000 {built-in method posix.stat}
    10281    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
      876    0.008    0.000    0.013    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.013    0.013 request.py:2585(proxy_bypass_macosx_sysconf)
        1    0.012    0.012    0.012    0.012 {built-in method _scproxy._get_proxy_settings}
    13034    0.005    0.000    0.012    0.000 sre_parse.py:254(get)
    16640    0.008    0.000    0.012    0.000 sre_parse.py:164(__getitem__)
      950    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
