('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419819 function calls (406863 primitive calls) in 1.191 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      828    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      818    0.001    0.000    0.002    0.000 sre_parse.py:408(_uniq)
      783    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
      779    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      699    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      694    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      694    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      682    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      639    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x1009b07e0}
      591    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      589    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      574    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      547    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      546    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      546    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      536    0.011    0.000    0.080    0.000 {built-in method builtins.__build_class__}
  534/338    0.000    0.000    0.246    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      497    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      497    0.006    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      486    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      475    0.003    0.000    0.004    0.000 css_types.py:37(__init__)
      465    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      465    0.001    0.000    0.005    0.000 enum.py:284(__call__)
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
      463    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
