('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         336945 function calls (327866 primitive calls) in 2.298 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5136    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1863    0.001    0.000    0.002    0.000 element.py:1938(_normalize_search_value)
      163    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      136    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       18    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
    136/5    0.001    0.000    0.763    0.153 <frozen importlib._bootstrap>:663(_load_unlocked)
     3627    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      136    0.001    0.000    0.094    0.001 sre_compile.py:759(compile)
     1745    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      950    0.001    0.000    0.010    0.000 __init__.py:702(handle_endtag)
      950    0.001    0.000    0.001    0.000 __init__.py:509(popTag)
     2578    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      536    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
        4    0.001    0.000    0.001    0.000 _collections_abc.py:72(_check_methods)
     3627    0.001    0.000    0.003    0.000 abc.py:137(__instancecheck__)
    143/4    0.001    0.000    0.764    0.191 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      136    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
    45/14    0.001    0.000    0.021    0.001 css_parser.py:847(parse_selectors)
       25    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
      950    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
     5560    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      554    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      887    0.001    0.000    0.002    0.000 sre_parse.py:168(__setitem__)
      133    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      361    0.001    0.000    0.002    0.000 __init__.py:568(object_was_parsed)
      112    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     2372    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
    112/5    0.001    0.000    0.762    0.152 <frozen importlib._bootstrap_external>:722(exec_module)
     2241    0.001    0.000    0.003    0.000 css_parser.py:305(match)
     3475    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      653    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
      950    0.001    0.000    0.001    0.000 element.py:1179(is_empty_element)
       77    0.001    0.000    0.007    0.000 css_parser.py:450(parse_attribute_selector)
      163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      136    0.001    0.000    0.060    0.000 sre_parse.py:919(parse)
       93    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      112    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      343    0.001    0.000    0.001    0.000 {built-in method builtins.any}
     1108    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      411    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      136    0.001    0.000    0.001    0.000 enum.py:836(__and__)
     2017    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     1197    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      208    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      361    0.001    0.000    0.002    0.000 element.py:885(__new__)
      578    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
      951    0.001    0.000    0.001    0.000 __init__.py:195(can_be_empty_element)
     1726    0.001    0.000    0.007    0.000 {built-in method builtins.next}
     1591    0.001    0.000    0.001    0.000 element.py:1797(descendants)
      601    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       93    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      265    0.000    0.000    0.001    0.000 enum.py:376(__setattr__)
      136    0.000    0.000    0.447    0.003 <frozen importlib._bootstrap>:576(module_from_spec)
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
